eta,gamma,controller,precision,diverged,converged,converged_step,final_loss,log_final_loss,final_alpha,min_alpha,min_update_cosine,max_grad_sat
0.01,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0868377685546875,-1.061291345010373,1.0,1.0,0.5875809788703918,0.0
0.012469049049711741,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0548858642578125,-1.2605394927972753,1.0,1.0,0.39527085423469543,0.0
0.015547718420411735,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.037109375,-1.4305163600112987,1.0,1.0,0.3860349953174591,0.0
0.019386526359522076,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0288238525390625,-1.5402479726867984,1.0,1.0,0.4564613103866577,0.0
0.024173154808041036,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.02947998046875,-1.5304728085294927,1.0,1.0,0.6857472658157349,0.0
0.03014162529877389,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0184783935546875,-1.733335787457144,1.0,1.0,0.6482539176940918,0.0
0.037583740428844416,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0130462646484375,-1.8845138158622377,1.0,1.0,0.706397294998169,0.0
0.046863350287889544,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.01019287109375,-1.9917034681055457,1.0,1.0,0.7847340106964111,0.0
0.05843414133735175,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.007843017578125,-2.10551681157305,1.0,1.0,0.8211523294448853,0.0
0.07286181745132274,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.007659912109375,-2.1157762134219826,1.0,1.0,0.9140110611915588,0.0
0.09085175756516867,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0071868896484375,-2.143459023434374,1.0,1.0,0.9452928304672241,0.0
0.11328350213326084,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0063018798828125,-2.200529878898383,1.0,1.0,0.9671325087547302,0.0
0.1412537544622754,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.00579833984375,-2.236696333931989,1.0,1.0,0.9769299626350403,0.0
0.17612999928460507,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0050201416015625,-2.2992840325872144,1.0,1.0,0.9823970794677734,0.0
0.21961736002054355,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0041656494140625,-2.380317283478687,1.0,1.0,0.9820226430892944,0.0
0.27384196342643613,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0033721923828125,-2.4720876568098014,1.0,1.0,0.9875289797782898,0.0
0.34145488738336005,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0024871826171875,-2.6042923260451283,1.0,1.0,0.9914581775665283,0.0
0.42576177390469155,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.001739501953125,-2.7595750790375604,1.0,1.0,0.9922603368759155,0.0
0.5308844442309882,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0010986328125,-2.959147433797126,1.0,1.0,0.9931685924530029,0.0
