eta,gamma,controller,precision,diverged,converged,converged_step,final_loss,log_final_loss,final_alpha,min_alpha,min_update_cosine,max_grad_sat
0.037583740428844416,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.00592041015625,-2.2276482049561364,1.0,1.0,0.42585963010787964,0.0
0.046863350287889544,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,532.0,0.0038909912109375,-2.4099397500781286,1.0,1.0,0.43204811215400696,0.0
0.05843414133735175,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,429.0,0.0025787353515625,-2.588593225841612,1.0,1.0,0.4192112982273102,0.0
0.07286181745132274,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,343.0,0.0017242431640625,-2.763401486888404,1.0,1.0,0.39812034368515015,0.0
0.09085175756516867,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,272.0,0.0010833740234375,-2.9652215815037515,1.0,1.0,0.3908679485321045,0.0
0.11328350213326084,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,215.0,0.00067138671875,-3.1730272534906496,1.0,1.0,0.3789962828159332,0.0
0.1412537544622754,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,173.0,0.0005035400390625,-3.297965989883329,1.0,1.0,0.3947368562221527,0.0
0.17612999928460507,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,138.0,0.00030517578125,-3.5154499335366216,1.0,1.0,0.36285650730133057,0.0
0.21961736002054355,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,110.0,0.00018310546875,-3.7372986822042473,1.0,1.0,0.4315318465232849,0.0
0.27384196342643613,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,88.0,0.0001068115234375,-3.9713818865434534,1.0,1.0,0.44172608852386475,0.0
0.34145488738336005,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,70.0,7.62939453125e-05,-4.117509920595296,1.0,1.0,0.39307308197021484,0.0
0.42576177390469155,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,56.0,4.57763671875e-05,-4.339358666416729,1.0,1.0,0.47457897663116455,0.0
0.5308844442309882,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,45.0,3.0517578125e-05,-4.515449920728757,1.0,1.0,0.4950737953186035,0.0
0.6619624174845152,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,36.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.4375949800014496,0.0
0.8254041852680182,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,29.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.6882472038269043,0.0
1.0292005271944276,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,23.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.5345224738121033,0.0
1.2833151855576512,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,18.0,0.0,-12.0,1.0,1.0,0.7071067690849304,0.0
1.600171999495828,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,16.0,3.0517578125e-05,-4.515449920728757,1.0,1.0,0.9983286261558533,0.0
1.9952623149688795,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",True,False,,1147.862060546875,,1.0,1.0,0.9958162307739258,0.0
0.01,1.122462048309373,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.07806396484375,-1.1075493948115194,1.0,1.0,0.4153159260749817,0.0
0.012469049049711741,1.122462048309373,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.0498504638671875,-1.3023307961395498,1.0,1.0,0.4168364405632019,0.0
0.015547718420411735,1.122462048309373,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,False,,0.03192138671875,-1.4959182504148574,1.0,1.0,0.420626163482666,0.0
