eta,gamma,controller,precision,diverged,converged,converged_step,final_loss,log_final_loss,final_alpha,min_alpha,min_update_cosine,max_grad_sat,max_curvature_proxy,max_curvature_for_control,max_hessian_lambda,max_hessian_spectral_norm,max_margin_lambda_raw,max_margin_lambda_ctrl,max_margin_norm_raw,max_margin_norm_ctrl,max_spectral_radius_raw,max_spectral_radius_ctrl,final_margin_lambda_raw,final_margin_lambda_ctrl,min_controller_feasible,min_alpha_min_bound,max_alpha_min_bound,min_alpha_max_bound,max_alpha_max_bound
0.01,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0912628173828125,-1.0397061282068334,1.0,1.0,0.6084535121917725,0.0,1.1013003587722778,1.1013003587722778,1.082200634657274,1.082200634657274,0.010822006104682048,0.010822006104682048,0.010822006104682048,0.010822006104682048,0.9992320035581912,0.9992320035581912,0.010822006104682034,0.010822006104682034,1.0,0.0,0.0,1.0,1.0
0.012469049049711741,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0782318115234375,-1.1066166131777484,1.0,1.0,0.637397825717926,0.0,1.095267415046692,1.095267415046692,1.0822006346572737,1.0822006346572737,0.013494012321283725,0.013494012321283725,0.013494012321283725,0.013494012321283725,0.9990423814819336,0.9990423814819336,0.013494012321283713,0.013494012321283713,1.0,0.0,0.0,1.0,1.0
0.015547718420411735,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0658416748046875,-1.1814991305658746,1.0,1.0,0.7165006399154663,0.0,1.0832123756408691,1.0832123756408691,1.082200634657274,1.082200634657274,0.016825751209928012,0.016825751209928012,0.016825751209928012,0.016825751209928012,0.9988059406975942,0.9988059406975942,0.016825751209928002,0.016825751209928002,1.0,0.0,0.0,1.0,1.0
0.019386526359522076,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.05084228515625,-1.293774937880407,1.0,1.0,0.7551596760749817,0.0,1.0838923454284668,1.0838923454284668,1.082200634657274,1.082200634657274,0.020980110954404354,0.020980110954404354,0.020980110954404354,0.020980110954404354,0.9985111216528727,0.9985111216528727,0.020980110954404343,0.020980110954404343,1.0,0.0,0.0,1.0,1.0
0.024173154808041036,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0342559814453125,-1.4652635852716793,1.0,1.0,0.7692245244979858,0.0,1.0779151916503906,1.0779151916503906,1.082200634657274,1.082200634657274,0.02616020414474567,0.02616020414474567,0.02616020414474567,0.02616020414474567,0.9981435102229825,0.9981435102229825,0.02616020414474565,0.02616020414474565,1.0,0.0,0.0,1.0,1.0
0.03014162529877389,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.02130126953125,-1.6715945123161686,1.0,1.0,0.75350022315979,0.0,1.0792039632797241,1.0792039632797241,1.082200634657274,1.082200634657274,0.0326192863034584,0.0326192863034584,0.0326192863034584,0.0326192863034584,0.9976851338307258,0.9976851338307258,0.03261928630345836,0.03261928630345836,1.0,0.0,0.0,1.0,1.0
0.037583740428844416,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.013031005859375,-1.8850220599013663,1.0,1.0,0.7299799919128418,0.0,1.0754789113998413,1.0754789113998413,1.0822006346572737,1.0822006346572737,0.0406731497598291,0.0406731497598291,0.0406731497598291,0.0406731497598291,0.997113581900568,0.997113581900568,0.040673149759829066,0.040673149759829066,1.0,0.0,0.0,1.0,1.0
0.046863350287889544,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.007110595703125,-2.1480940138726217,1.0,1.0,0.6498126983642578,0.0,1.075677752494812,1.075677752494812,1.0822006346572737,1.0822006346572737,0.050715548213020156,0.050715548213020156,0.050715548213020156,0.050715548213020156,0.996400911236305,0.996400911236305,0.05071554821302015,0.05071554821302015,1.0,0.0,0.0,1.0,1.0
0.05843414133735175,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0035858154296875,-2.4454120682308482,1.0,1.0,0.3963119685649872,0.0,1.0747421979904175,1.0747421979904175,1.0822006346572737,1.0822006346572737,0.06323746332564908,0.06323746332564908,0.06323746332564908,0.06323746332564908,0.9955122787444998,0.9955122787444998,0.06323746332564907,0.06323746332564907,1.0,0.0,0.0,1.0,1.0
0.07286181745132274,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0021820068359375,-2.6611438929596027,1.0,1.0,0.37542223930358887,0.0,1.0733598470687866,1.0733598470687866,1.082200634657274,1.082200634657274,0.07885110834341007,0.07885110834341007,0.07885110834341007,0.07885110834341007,0.994404237989272,0.994404237989272,0.07885110834340998,0.07885110834340998,1.0,0.0,0.0,1.0,1.0
0.09085175756516867,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0014190673828125,-2.8479969817637216,1.0,1.0,0.3592585027217865,0.0,1.073255181312561,1.073255181312561,1.0822006346572737,1.0822006346572737,0.09831982578454528,0.09831982578454528,0.09831982578454528,0.09831982578454528,0.993022617467462,0.993022617467462,0.09831982578454519,0.09831982578454519,1.0,0.0,0.0,1.0,1.0
0.11328350213326084,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0008544921875,-3.06829190310925,1.0,1.0,0.37459373474121094,0.0,1.073835849761963,1.073835849761963,1.0822006346572737,1.0822006346572737,0.12259547567773055,0.12259547567773055,0.12259547567773055,0.12259547567773055,0.9912998673081818,0.9912998673081818,0.1225954756777305,0.1225954756777305,1.0,0.0,0.0,1.0,1.0
0.1412537544622754,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0005645751953125,-3.248278205787463,1.0,1.0,0.35457244515419006,0.0,1.0730421543121338,1.0730421543121338,1.082200634657274,1.082200634657274,0.15286490276391557,0.15286490276391557,0.15286490276391557,0.15286490276391557,0.9891517616729671,0.9891517616729671,0.15286490276391543,0.15286490276391543,1.0,0.0,0.0,1.0,1.0
0.17612999928460507,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0003814697265625,-3.418539920813185,1.0,1.0,0.4084497392177582,0.0,1.0738611221313477,1.0738611221313477,1.0822006346572737,1.0822006346572737,0.19060799429379932,0.19060799429379932,0.19060799429379932,0.19060799429379932,0.9864732786156264,0.9864732786156264,0.19060799429379915,0.19060799429379915,1.0,0.0,0.0,1.0,1.0
0.21961736002054355,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.000213623046875,-3.6703518929124668,1.0,1.0,0.41630545258522034,0.0,1.0737076997756958,1.0737076997756958,1.082200634657274,1.082200634657274,0.2376700537227322,0.2376700537227322,0.2376700537227322,0.2376700537227322,0.983133463997522,0.983133463997522,0.23767005372273217,0.23767005372273217,1.0,0.0,0.0,1.0,1.0
0.27384196342643613,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0001220703125,-3.913389940074015,1.0,1.0,0.45363837480545044,0.0,1.073965311050415,1.073965311050415,1.0822006346572737,1.0822006346572737,0.29635196143446685,0.29635196143446685,0.29635196143446685,0.29635196143446685,0.9789690331253483,0.9789690331253483,0.2963519614344667,0.2963519614344667,1.0,0.0,0.0,1.0,1.0
0.34145488738336005,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,9.1552734375e-05,-4.038328675496402,1.0,1.0,0.511101245880127,0.0,1.0742675065994263,1.0742675065994263,1.082200634657274,1.082200634657274,0.3695227022908524,0.3695227022908524,0.3695227022908524,0.3695227022908524,0.9737763851006964,0.9737763851006964,0.36952270229085216,0.36952270229085216,1.0,0.0,0.0,1.0,1.0
0.42576177390469155,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,4.57763671875e-05,-4.339358666416729,1.0,1.0,0.4902903139591217,0.0,1.0746105909347534,1.0746105909347534,1.082200634657274,1.082200634657274,0.46075964610686715,0.46075964610686715,0.46075964610686715,0.46075964610686715,0.9673016476504993,0.9673016476504993,0.46075964610686676,0.46075964610686676,1.0,0.0,0.0,1.0,1.0
0.5308844442309882,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,4.57763671875e-05,-4.339358666416729,1.0,1.0,0.41039133071899414,0.0,1.0745593309402466,1.0745593309402466,1.082200634657274,1.082200634657274,0.5745234829987242,0.5745234829987242,0.5745234829987242,0.5745234829987242,0.9592282626334913,0.9592282626334913,0.5745234829987237,0.5745234829987237,1.0,0.0,0.0,1.0,1.0
0.6619624174845152,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.5207556486129761,0.0,1.0747700929641724,1.0747700929641724,1.0822006346572737,1.0822006346572737,0.7163761185187895,0.7163761185187895,0.7163761185187895,0.7163761185187895,0.9491615228546683,0.9491615228546683,0.716376118518789,0.716376118518789,1.0,0.0,0.0,1.0,1.0
0.8254041852680182,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.5144957304000854,0.0,1.0746991634368896,1.0746991634368896,1.0822006346572737,1.0822006346572737,0.8932529135658605,0.8932529135658605,0.8932529135658605,0.8932529135658605,0.9366092522385948,0.9366092522385948,0.8932529135658598,0.8932529135658598,1.0,0.0,0.0,1.0,1.0
1.0292005271944276,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,1.52587890625e-05,-4.816479902161777,1.0,1.0,0.7071067690849304,0.0,1.0747134685516357,1.0747134685516357,1.082200634657274,1.082200634657274,1.1138014926137512,1.1138014926137512,1.1138014926137512,1.1138014926137512,0.9209577619033995,0.9209577619033995,1.1138014926137505,1.1138014926137505,1.0,0.0,0.0,1.0,1.0
1.2833151855576512,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0,-12.0,1.0,1.0,0.6324555277824402,0.0,1.0748673677444458,1.0748673677444458,1.0822006346572737,1.0822006346572737,1.3888045041358772,1.3888045041358772,1.3888045041358772,1.3888045041358772,0.9014418484680488,0.9014418484680488,1.388804504135877,1.388804504135877,1.0,0.0,0.0,1.0,1.0
1.600171999495828,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0,-12.0,1.0,1.0,0.6324555277824402,0.0,1.0749164819717407,1.0749164819717407,1.082200634657274,1.082200634657274,1.7317072003295033,1.7317072003295033,1.7317072003295033,1.7317072003295033,0.8771073537342533,0.8771073537342533,1.7317072003295018,1.7317072003295018,1.0,0.0,0.0,1.0,1.0
1.9952623149688795,1.0,none,"ap_fixed<16,6,AP_RND,AP_SAT>",True,False,,111.97543334960938,,1.0,1.0,0.9999998807907104,0.0,1.0822489261627197,1.0822489261627197,1.0822006346572735,1.0822006346572735,2.1592740897129747,2.1592740897129747,2.1592740897129747,2.1592740897129747,1.159274089712975,1.159274089712975,2.1592740897129743,2.1592740897129743,1.0,0.0,0.0,1.0,1.0
0.01,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0853271484375,-1.0689127678809844,1.0,1.0,0.5996925830841064,0.0,1.2168083190917969,1.2168083190917969,1.2147291416517956,1.2147291416517956,0.012147291145004834,0.012147291145004834,0.012147291145004834,0.012147291145004834,0.9991379531460766,0.9991379531460766,0.012147291145004829,0.012147291145004829,1.0,0.0,0.0,1.0,1.0
0.012469049049711741,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.073699951171875,-1.1325327998662942,1.0,1.0,0.6915074586868286,0.0,1.213778018951416,1.213778018951416,1.2147291416517958,1.2147291416517958,0.015146516717450313,0.015146516717450313,0.015146516717450313,0.015146516717450313,0.9989251095632504,0.9989251095632504,0.015146516717450303,0.015146516717450303,1.0,0.0,0.0,1.0,1.0
0.015547718420411735,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.060211181640625,-1.2203228497003138,1.0,1.0,0.7114343643188477,0.0,1.2145079374313354,1.2145079374313354,1.2147291416517956,1.2147291416517956,0.01888626717665466,0.01888626717665466,0.01888626717665466,0.01888626717665466,0.9986597137577715,0.9986597137577715,0.018886267176654644,0.018886267176654644,1.0,0.0,0.0,1.0,1.0
0.019386526359522076,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.044921875,-1.3475421249485702,1.0,1.0,0.7534714341163635,0.0,1.2104829549789429,1.2104829549789429,1.2147291416517958,1.2147291416517958,0.0235493783271288,0.0235493783271288,0.0235493783271288,0.0235493783271288,0.9983287905709656,0.9983287905709656,0.023549378327128778,0.023549378327128778,1.0,0.0,0.0,1.0,1.0
0.024173154808041036,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.02874755859375,-1.5413990321517335,1.0,1.0,0.7565265893936157,0.0,1.2122163772583008,1.2122163772583008,1.2147291416517958,1.2147291416517958,0.029363836342829727,0.029363836342829727,0.029363836342829727,0.029363836342829727,0.9979161606948992,0.9979161606948992,0.029363836342829696,0.029363836342829696,1.0,0.0,0.0,1.0,1.0
0.03014162529877389,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.017303466796875,-1.7618668760417127,1.0,1.0,0.725561261177063,0.0,1.2080045938491821,1.2080045938491821,1.2147291416517956,1.2147291416517956,0.03661391093643439,0.03661391093643439,0.03661391093643439,0.03661391093643439,0.9974016505938796,0.9974016505938796,0.03661391093643437,0.03661391093643437,1.0,0.0,0.0,1.0,1.0
0.037583740428844416,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0100250244140625,-1.9989145610205974,1.0,1.0,0.6842737793922424,0.0,1.2097504138946533,1.2097504138946533,1.2147291416517956,1.2147291416517956,0.045654067012887115,0.045654067012887115,0.045654067012887115,0.045654067012887115,0.996760105247542,0.996760105247542,0.045654067012887094,0.045654067012887094,1.0,0.0,0.0,1.0,1.0
0.046863350287889544,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.005157470703125,-2.2875632302618376,1.0,1.0,0.44257083535194397,0.0,1.2067681550979614,1.2067681550979614,1.2147291416517956,1.2147291416517956,0.05692627815609475,0.05692627815609475,0.05692627815609475,0.05692627815609475,0.9959601594788295,0.9959601594788295,0.056926278156094696,0.056926278156094696,1.0,0.0,0.0,1.0,1.0
0.05843414133735175,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.003173828125,-2.4984165955241013,1.0,1.0,0.3621163070201874,0.0,1.2053345441818237,1.2053345441818237,1.2147291416517954,1.2147291416517954,0.07098165264903018,0.07098165264903018,0.07098165264903018,0.07098165264903018,0.9949627032379508,0.9949627032379508,0.0709816526490301,0.0709816526490301,1.0,0.0,0.0,1.0,1.0
0.07286181745132274,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0019683837890625,-2.7058902201038153,1.0,1.0,0.39056676626205444,0.0,1.205519199371338,1.205519199371338,1.2147291416517958,1.2147291416517958,0.08850737662579272,0.08850737662579272,0.08850737662579272,0.08850737662579272,0.9937189695497929,0.9937189695497929,0.08850737662579262,0.08850737662579262,1.0,0.0,0.0,1.0,1.0
0.09085175756516867,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.001190185546875,-2.9243853275683223,1.0,1.0,0.3828379213809967,0.0,1.2047722339630127,1.2047722339630127,1.2147291416517956,1.2147291416517956,0.11036027309338821,0.11036027309338821,0.11036027309338821,0.11036027309338821,0.9921681529583292,0.9921681529583292,0.11036027309338813,0.11036027309338813,1.0,0.0,0.0,1.0,1.0
0.11328350213326084,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0007781982421875,-3.1089097539676858,1.0,1.0,0.5517104864120483,0.0,1.2057594060897827,1.2057594060897827,1.2147291416517954,1.2147291416517954,0.13760876880982917,0.13760876880982917,0.13760876880982917,0.13760876880982917,0.9902344312975808,0.9902344312975808,0.13760876880982909,0.13760876880982909,1.0,0.0,0.0,1.0,1.0
0.1412537544622754,1.0594630943592953,none,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.000518798828125,-3.2850010127443285,1.0,1.0,0.40075209736824036,0.0,1.2045774459838867,1.2045774459838867,1.2147291416517954,1.2147291416517954,0.17158505195471724,0.17158505195471724,0.17158505195471724,0.17158505195471724,0.9878232642609601,0.9878232642609601,0.17158505195471718,0.17158505195471718,1.0,0.0,0.0,1.0,1.0
