eta,gamma,controller,precision,diverged,converged,converged_step,final_loss,log_final_loss,final_alpha,min_alpha,min_update_cosine,max_grad_sat,max_curvature_proxy,max_curvature_for_control,max_hessian_lambda,max_hessian_spectral_norm,max_margin_lambda_raw,max_margin_lambda_ctrl,max_margin_norm_raw,max_margin_norm_ctrl,max_spectral_radius_raw,max_spectral_radius_ctrl,final_margin_lambda_raw,final_margin_lambda_ctrl,min_controller_feasible,min_alpha_min_bound,max_alpha_min_bound,min_alpha_max_bound,max_alpha_max_bound
0.01,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.06390380859375,-1.1944732576100983,1.0,1.0,0.5483537316322327,0.0,1.107502818107605,1.107502818107605,1.0822006346572737,1.0822006346572737,0.010822006104682045,0.010822006104682045,0.010822006104682045,0.010822006104682045,0.9992320035581912,0.9992320035581912,0.010822006104682036,0.010822006104682036,1.0,0.0,0.0,1.0,1.0
0.012469049049711741,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0562286376953125,-1.2500424384209052,1.0,1.0,0.7136367559432983,0.0,1.0920498371124268,1.0920498371124268,1.082200634657274,1.082200634657274,0.013494012321283727,0.013494012321283727,0.013494012321283727,0.013494012321283727,0.9990423814819336,0.9990423814819336,0.013494012321283718,0.013494012321283718,1.0,0.0,0.0,1.0,1.0
0.015547718420411735,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0518341064453125,-1.2853843837452927,1.0,1.0,0.752888023853302,0.0,1.0846688747406006,1.0846688747406006,1.082200634657274,1.082200634657274,0.016825751209928012,0.016825751209928012,0.016825751209928012,0.016825751209928012,0.9988059406975942,0.9988059406975942,0.016825751209928002,0.016825751209928002,1.0,0.0,0.0,1.0,1.0
0.019386526359522076,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0429840087890625,-1.3666930836278222,1.0,1.0,0.7687081098556519,0.0,1.0834944248199463,1.0834944248199463,1.082200634657274,1.082200634657274,0.020980110954404354,0.020980110954404354,0.020980110954404354,0.020980110954404354,0.9985111216528726,0.9985111216528726,0.020980110954404343,0.020980110954404343,1.0,0.0,0.0,1.0,1.0
0.024173154808041036,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0301055908203125,-1.5213528453570822,1.0,1.0,0.7706966996192932,0.0,1.0810250043869019,1.0810250043869019,1.082200634657274,1.082200634657274,0.02616020414474567,0.02616020414474567,0.02616020414474567,0.02616020414474567,0.9981435102229825,0.9981435102229825,0.02616020414474565,0.02616020414474565,1.0,0.0,0.0,1.0,1.0
0.03014162529877389,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0207366943359375,-1.6832604738702615,1.0,1.0,0.7726426720619202,0.0,1.0797189474105835,1.0797189474105835,1.0822006346572737,1.0822006346572737,0.032619286303458395,0.032619286303458395,0.032619286303458395,0.032619286303458395,0.9976851338307257,0.9976851338307257,0.03261928630345838,0.03261928630345838,1.0,0.0,0.0,1.0,1.0
0.037583740428844416,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.012176513671875,-1.9144770392373032,1.0,1.0,0.7420991659164429,0.0,1.0800092220306396,1.0800092220306396,1.082200634657274,1.082200634657274,0.04067314975982911,0.04067314975982911,0.04067314975982911,0.04067314975982911,0.997113581900568,0.997113581900568,0.040673149759829066,0.040673149759829066,1.0,0.0,0.0,1.0,1.0
0.046863350287889544,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.006561279296875,-2.183011474977922,1.0,1.0,0.6813313364982605,0.0,1.0803874731063843,1.0803874731063843,1.082200634657274,1.082200634657274,0.05071554821302017,0.05071554821302017,0.05071554821302017,0.05071554821302017,0.996400911236305,0.996400911236305,0.050715548213020115,0.050715548213020115,1.0,0.0,0.0,1.0,1.0
0.05843414133735175,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.00323486328125,-2.490144069560693,1.0,1.0,0.3928186595439911,0.0,1.0803347826004028,1.0803347826004028,1.0822006346572737,1.0822006346572737,0.06323746332564908,0.06323746332564908,0.06323746332564908,0.06323746332564908,0.9955122787444998,0.9955122787444998,0.06323746332564906,0.06323746332564906,1.0,0.0,0.0,1.0,1.0
0.07286181745132274,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0020294189453125,-2.692628289442614,1.0,1.0,0.3849635720252991,0.0,1.07907235622406,1.07907235622406,1.082200634657274,1.082200634657274,0.07885110834341007,0.07885110834341007,0.07885110834341007,0.07885110834341007,0.994404237989272,0.994404237989272,0.07885110834341001,0.07885110834341001,1.0,0.0,0.0,1.0,1.0
0.09085175756516867,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0012054443359375,-2.91885283897298,1.0,1.0,0.36600640416145325,0.0,1.0782456398010254,1.0782456398010254,1.082200634657274,1.082200634657274,0.09831982578454529,0.09831982578454529,0.09831982578454529,0.09831982578454529,0.993022617467462,0.993022617467462,0.09831982578454523,0.09831982578454523,1.0,0.0,0.0,1.0,1.0
0.11328350213326084,1.0,gt-order-0,"ap_fixed<16,6,AP_RND,AP_SAT>",False,True,500.0,0.0007476806640625,-3.12628385001433,1.0,1.0,0.378131240606308,0.0,1.0785858631134033,1.0785858631134033,1.082200634657274,1.082200634657274,0.12259547567773058,0.12259547567773058,0.12259547567773058,0.12259547567773058,0.991299867308182,0.991299867308182,0.1225954756777304,0.1225954756777304,1.0,0.0,0.0,1.0,1.0
